"Kod";"Nazwa";"Rodzaje pojazdów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"pojazdy samochodowe i ciągniki";"2018";2274325;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"pojazdy samochodowe i ciągniki";"2019";2366425;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"pojazdy samochodowe i ciągniki";"2020";2448105;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"pojazdy samochodowe i ciągniki";"2021";2529725;"szt.";"";
0200000;"DOLNOŚLĄSKIE";"pojazdy samochodowe i ciągniki";"2022";2592868;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"pojazdy samochodowe i ciągniki";"2018";1643145;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"pojazdy samochodowe i ciągniki";"2019";1703161;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"pojazdy samochodowe i ciągniki";"2020";1755029;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"pojazdy samochodowe i ciągniki";"2021";1807615;"szt.";"";
0400000;"KUJAWSKO-POMORSKIE";"pojazdy samochodowe i ciągniki";"2022";1845504;"szt.";"";
0600000;"LUBELSKIE";"pojazdy samochodowe i ciągniki";"2018";1773836;"szt.";"";
0600000;"LUBELSKIE";"pojazdy samochodowe i ciągniki";"2019";1837025;"szt.";"";
0600000;"LUBELSKIE";"pojazdy samochodowe i ciągniki";"2020";1898911;"szt.";"";
0600000;"LUBELSKIE";"pojazdy samochodowe i ciągniki";"2021";1962183;"szt.";"";
0600000;"LUBELSKIE";"pojazdy samochodowe i ciągniki";"2022";2009948;"szt.";"";
0800000;"LUBUSKIE";"pojazdy samochodowe i ciągniki";"2018";844124;"szt.";"";
0800000;"LUBUSKIE";"pojazdy samochodowe i ciągniki";"2019";880664;"szt.";"";
0800000;"LUBUSKIE";"pojazdy samochodowe i ciągniki";"2020";910624;"szt.";"";
0800000;"LUBUSKIE";"pojazdy samochodowe i ciągniki";"2021";941585;"szt.";"";
0800000;"LUBUSKIE";"pojazdy samochodowe i ciągniki";"2022";965035;"szt.";"";
1000000;"ŁÓDZKIE";"pojazdy samochodowe i ciągniki";"2018";2049765;"szt.";"";
1000000;"ŁÓDZKIE";"pojazdy samochodowe i ciągniki";"2019";2124765;"szt.";"";
1000000;"ŁÓDZKIE";"pojazdy samochodowe i ciągniki";"2020";2186547;"szt.";"";
1000000;"ŁÓDZKIE";"pojazdy samochodowe i ciągniki";"2021";2249270;"szt.";"";
1000000;"ŁÓDZKIE";"pojazdy samochodowe i ciągniki";"2022";2293139;"szt.";"";
1200000;"MAŁOPOLSKIE";"pojazdy samochodowe i ciągniki";"2018";2565658;"szt.";"";
1200000;"MAŁOPOLSKIE";"pojazdy samochodowe i ciągniki";"2019";2671787;"szt.";"";
1200000;"MAŁOPOLSKIE";"pojazdy samochodowe i ciągniki";"2020";2761855;"szt.";"";
1200000;"MAŁOPOLSKIE";"pojazdy samochodowe i ciągniki";"2021";2858282;"szt.";"";
1200000;"MAŁOPOLSKIE";"pojazdy samochodowe i ciągniki";"2022";2931801;"szt.";"";
1400000;"MAZOWIECKIE";"pojazdy samochodowe i ciągniki";"2018";4856282;"szt.";"";
1400000;"MAZOWIECKIE";"pojazdy samochodowe i ciągniki";"2019";5070440;"szt.";"";
1400000;"MAZOWIECKIE";"pojazdy samochodowe i ciągniki";"2020";5237089;"szt.";"";
1400000;"MAZOWIECKIE";"pojazdy samochodowe i ciągniki";"2021";5424468;"szt.";"";
1400000;"MAZOWIECKIE";"pojazdy samochodowe i ciągniki";"2022";5602722;"szt.";"";
1600000;"OPOLSKIE";"pojazdy samochodowe i ciągniki";"2018";813550;"szt.";"";
