"Kod";"Nazwa";"Rodzaje dróg";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2018";24333,4;"km";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2019";24548,6;"km";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2020";25322,3;"km";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2021";25427,2;"km";"";
0200000;"DOLNOŚLĄSKIE";"ogółem";"2022";25562,7;"km";"";
0200000;"DOLNOŚLĄSKIE";"autostrady";"2018";221,9;"km";"";
0200000;"DOLNOŚLĄSKIE";"autostrady";"2019";221,9;"km";"";
0200000;"DOLNOŚLĄSKIE";"autostrady";"2020";221,9;"km";"";
0200000;"DOLNOŚLĄSKIE";"autostrady";"2021";221,9;"km";"";
0200000;"DOLNOŚLĄSKIE";"autostrady";"2022";221,9;"km";"";
0200000;"DOLNOŚLĄSKIE";"inne drogi";"2018";24111,5;"km";"";
0200000;"DOLNOŚLĄSKIE";"inne drogi";"2019";24326,7;"km";"";
0200000;"DOLNOŚLĄSKIE";"inne drogi";"2020";25100,4;"km";"";
0200000;"DOLNOŚLĄSKIE";"inne drogi";"2021";25205,3;"km";"";
0200000;"DOLNOŚLĄSKIE";"inne drogi";"2022";25340,8;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2018";27516,5;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2019";28022,9;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2020";27440,3;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2021";27298,0;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"ogółem";"2022";27911,6;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"autostrady";"2018";165,0;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"autostrady";"2019";165,0;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"autostrady";"2020";165,0;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"autostrady";"2021";165,5;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"autostrady";"2022";165,5;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"inne drogi";"2018";27351,5;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"inne drogi";"2019";27857,9;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"inne drogi";"2020";27275,3;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"inne drogi";"2021";27132,5;"km";"";
0400000;"KUJAWSKO-POMORSKIE";"inne drogi";"2022";27746,1;"km";"";
0600000;"LUBELSKIE";"ogółem";"2018";38115,4;"km";"";
0600000;"LUBELSKIE";"ogółem";"2019";37196,4;"km";"";
0600000;"LUBELSKIE";"ogółem";"2020";38483,2;"km";"";
0600000;"LUBELSKIE";"ogółem";"2021";38797,0;"km";"";
0600000;"LUBELSKIE";"ogółem";"2022";37695,0;"km";"";
0600000;"LUBELSKIE";"autostrady";"2018";0,0;"km";"";
0600000;"LUBELSKIE";"autostrady";"2019";0,0;"km";"";
0600000;"LUBELSKIE";"autostrady";"2020";0,0;"km";"";
0600000;"LUBELSKIE";"autostrady";"2021";0,0;"km";"";
0600000;"LUBELSKIE";"autostrady";"2022";0,0;"km";"";
0600000;"LUBELSKIE";"inne drogi";"2018";38115,4;"km";"";
0600000;"LUBELSKIE";"inne drogi";"2019";37196,4;"km";"";
0600000;"LUBELSKIE";"inne drogi";"2020";38483,2;"km";"";
0600000;"LUBELSKIE";"inne drogi";"2021";38797,0;"km";"";
0600000;"LUBELSKIE";"inne drogi";"2022";37695,0;"km";"";
0800000;"LUBUSKIE";"ogółem";"2018";15579,6;"km";"";
0800000;"LUBUSKIE";"ogółem";"2019";15646,9;"km";"";
0800000;"LUBUSKIE";"ogółem";"2020";16399,5;"km";"";
0800000;"LUBUSKIE";"ogółem";"2021";15804,4;"km";"";
0800000;"LUBUSKIE";"ogółem";"2022";15778,0;"km";"";
0800000;"LUBUSKIE";"autostrady";"2018";89,2;"km";"";
0800000;"LUBUSKIE";"autostrady";"2019";89,2;"km";"";
0800000;"LUBUSKIE";"autostrady";"2020";89,2;"km";"";
0800000;"LUBUSKIE";"autostrady";"2021";89,2;"km";"";
0800000;"LUBUSKIE";"autostrady";"2022";111,1;"km";"";
0800000;"LUBUSKIE";"inne drogi";"2018";15490,4;"km";"";
0800000;"LUBUSKIE";"inne drogi";"2019";15557,7;"km";"";
0800000;"LUBUSKIE";"inne drogi";"2020";16310,3;"km";"";
0800000;"LUBUSKIE";"inne drogi";"2021";15715,2;"km";"";
0800000;"LUBUSKIE";"inne drogi";"2022";15666,9;"km";"";
1000000;"ŁÓDZKIE";"ogółem";"2018";26045,8;"km";"";
1000000;"ŁÓDZKIE";"ogółem";"2019";26034,2;"km";"";
1000000;"ŁÓDZKIE";"ogółem";"2020";26297,5;"km";"";
1000000;"ŁÓDZKIE";"ogółem";"2021";26382,8;"km";"";
1000000;"ŁÓDZKIE";"ogółem";"2022";26085,3;"km";"";
1000000;"ŁÓDZKIE";"autostrady";"2018";226,2;"km";"";
1000000;"ŁÓDZKIE";"autostrady";"2019";226,2;"km";"";
1000000;"ŁÓDZKIE";"autostrady";"2020";226,2;"km";"";
1000000;"ŁÓDZKIE";"autostrady";"2021";274,0;"km";"";
1000000;"ŁÓDZKIE";"autostrady";"2022";274,0;"km";"";
1000000;"ŁÓDZKIE";"inne drogi";"2018";25819,6;"km";"";
1000000;"ŁÓDZKIE";"inne drogi";"2019";25808,0;"km";"";
1000000;"ŁÓDZKIE";"inne drogi";"2020";26071,3;"km";"";
1000000;"ŁÓDZKIE";"inne drogi";"2021";26108,8;"km";"";
1000000;"ŁÓDZKIE";"inne drogi";"2022";25811,3;"km";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2018";31444,0;"km";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2019";31696,7;"km";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2020";31400,2;"km";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2021";31507,5;"km";"";
1200000;"MAŁOPOLSKIE";"ogółem";"2022";31870,0;"km";"";
1200000;"MAŁOPOLSKIE";"autostrady";"2018";151,0;"km";"";
1200000;"MAŁOPOLSKIE";"autostrady";"2019";151,0;"km";"";
1200000;"MAŁOPOLSKIE";"autostrady";"2020";151,0;"km";"";
1200000;"MAŁOPOLSKIE";"autostrady";"2021";151,0;"km";"";
1200000;"MAŁOPOLSKIE";"autostrady";"2022";151,0;"km";"";
1200000;"MAŁOPOLSKIE";"inne drogi";"2018";31293,0;"km";"";
1200000;"MAŁOPOLSKIE";"inne drogi";"2019";31545,7;"km";"";
1200000;"MAŁOPOLSKIE";"inne drogi";"2020";31249,2;"km";"";
1200000;"MAŁOPOLSKIE";"inne drogi";"2021";31356,5;"km";"";
1200000;"MAŁOPOLSKIE";"inne drogi";"2022";31719,0;"km";"";
1400000;"MAZOWIECKIE";"ogółem";"2018";55008,5;"km";"";
1400000;"MAZOWIECKIE";"ogółem";"2019";54928,0;"km";"";
1400000;"MAZOWIECKIE";"ogółem";"2020";55476,7;"km";"";
1400000;"MAZOWIECKIE";"ogółem";"2021";55810,2;"km";"";
1400000;"MAZOWIECKIE";"ogółem";"2022";55616,8;"km";"";
1400000;"MAZOWIECKIE";"autostrady";"2018";66,4;"km";"";
1400000;"MAZOWIECKIE";"autostrady";"2019";66,4;"km";"";
1400000;"MAZOWIECKIE";"autostrady";"2020";82,3;"km";"";
1400000;"MAZOWIECKIE";"autostrady";"2021";82,4;"km";"";
1400000;"MAZOWIECKIE";"autostrady";"2022";82,4;"km";"";
1400000;"MAZOWIECKIE";"inne drogi";"2018";54942,1;"km";"";
1400000;"MAZOWIECKIE";"inne drogi";"2019";54861,6;"km";"";
1400000;"MAZOWIECKIE";"inne drogi";"2020";55394,4;"km";"";
1400000;"MAZOWIECKIE";"inne drogi";"2021";55727,8;"km";"";
1400000;"MAZOWIECKIE";"inne drogi";"2022";55534,4;"km";"";
1600000;"OPOLSKIE";"ogółem";"2018";10504,8;"km";"";
1600000;"OPOLSKIE";"ogółem";"2019";10364,5;"km";"";
1600000;"OPOLSKIE";"ogółem";"2020";10406,3;"km";"";
1600000;"OPOLSKIE";"ogółem";"2021";10568,1;"km";"";
1600000;"OPOLSKIE";"ogółem";"2022";10487,7;"km";"";
1600000;"OPOLSKIE";"autostrady";"2018";88,1;"km";"";
1600000;"OPOLSKIE";"autostrady";"2019";88,1;"km";"";
1600000;"OPOLSKIE";"autostrady";"2020";88,1;"km";"";
1600000;"OPOLSKIE";"autostrady";"2021";88,1;"km";"";
1600000;"OPOLSKIE";"autostrady";"2022";88,1;"km";"";
1600000;"OPOLSKIE";"inne drogi";"2018";10416,7;"km";"";
1600000;"OPOLSKIE";"inne drogi";"2019";10276,4;"km";"";
1600000;"OPOLSKIE";"inne drogi";"2020";10318,2;"km";"";
1600000;"OPOLSKIE";"inne drogi";"2021";10480,0;"km";"";
1600000;"OPOLSKIE";"inne drogi";"2022";10399,6;"km";"";
1800000;"PODKARPACKIE";"ogółem";"2018";21122,9;"km";"";
1800000;"PODKARPACKIE";"ogółem";"2019";21340,3;"km";"";
1800000;"PODKARPACKIE";"ogółem";"2020";21630,6;"km";"";
1800000;"PODKARPACKIE";"ogółem";"2021";21735,9;"km";"";
1800000;"PODKARPACKIE";"ogółem";"2022";21770,2;"km";"";
1800000;"PODKARPACKIE";"autostrady";"2018";152,5;"km";"";
1800000;"PODKARPACKIE";"autostrady";"2019";152,5;"km";"";
1800000;"PODKARPACKIE";"autostrady";"2020";152,5;"km";"";
1800000;"PODKARPACKIE";"autostrady";"2021";152,5;"km";"";
1800000;"PODKARPACKIE";"autostrady";"2022";152,5;"km";"";
1800000;"PODKARPACKIE";"inne drogi";"2018";20970,4;"km";"";
1800000;"PODKARPACKIE";"inne drogi";"2019";21187,8;"km";"";
1800000;"PODKARPACKIE";"inne drogi";"2020";21478,1;"km";"";
1800000;"PODKARPACKIE";"inne drogi";"2021";21583,4;"km";"";
1800000;"PODKARPACKIE";"inne drogi";"2022";21617,7;"km";"";
2000000;"PODLASKIE";"ogółem";"2018";26673,5;"km";"";
2000000;"PODLASKIE";"ogółem";"2019";26818,0;"km";"";
2000000;"PODLASKIE";"ogółem";"2020";27155,6;"km";"";
2000000;"PODLASKIE";"ogółem";"2021";27390,7;"km";"";
2000000;"PODLASKIE";"ogółem";"2022";27452,3;"km";"";
2000000;"PODLASKIE";"autostrady";"2018";0,0;"km";"";
2000000;"PODLASKIE";"autostrady";"2019";0,0;"km";"";
2000000;"PODLASKIE";"autostrady";"2020";0,0;"km";"";
2000000;"PODLASKIE";"autostrady";"2021";0,0;"km";"";
2000000;"PODLASKIE";"autostrady";"2022";0,0;"km";"";
2000000;"PODLASKIE";"inne drogi";"2018";26673,5;"km";"";
2000000;"PODLASKIE";"inne drogi";"2019";26818,0;"km";"";
2000000;"PODLASKIE";"inne drogi";"2020";27155,6;"km";"";
2000000;"PODLASKIE";"inne drogi";"2021";27390,7;"km";"";
2000000;"PODLASKIE";"inne drogi";"2022";27452,3;"km";"";
2200000;"POMORSKIE";"ogółem";"2018";22720,0;"km";"";
2200000;"POMORSKIE";"ogółem";"2019";22827,2;"km";"";
2200000;"POMORSKIE";"ogółem";"2020";23251,2;"km";"";
2200000;"POMORSKIE";"ogółem";"2021";22781,9;"km";"";
2200000;"POMORSKIE";"ogółem";"2022";21442,4;"km";"";
2200000;"POMORSKIE";"autostrady";"2018";65,9;"km";"";
2200000;"POMORSKIE";"autostrady";"2019";65,9;"km";"";
2200000;"POMORSKIE";"autostrady";"2020";65,9;"km";"";
2200000;"POMORSKIE";"autostrady";"2021";65,9;"km";"";
2200000;"POMORSKIE";"autostrady";"2022";65,9;"km";"";
2200000;"POMORSKIE";"inne drogi";"2018";22654,1;"km";"";
2200000;"POMORSKIE";"inne drogi";"2019";22761,3;"km";"";
2200000;"POMORSKIE";"inne drogi";"2020";23185,3;"km";"";
2200000;"POMORSKIE";"inne drogi";"2021";22716,0;"km";"";
2200000;"POMORSKIE";"inne drogi";"2022";21376,5;"km";"";
2400000;"ŚLĄSKIE";"ogółem";"2018";24756,4;"km";"";
2400000;"ŚLĄSKIE";"ogółem";"2019";25142,3;"km";"";
2400000;"ŚLĄSKIE";"ogółem";"2020";25491,7;"km";"";
2400000;"ŚLĄSKIE";"ogółem";"2021";24875,9;"km";"";
2400000;"ŚLĄSKIE";"ogółem";"2022";24797,1;"km";"";
2400000;"ŚLĄSKIE";"autostrady";"2018";174,9;"km";"";
2400000;"ŚLĄSKIE";"autostrady";"2019";213,8;"km";"";
2400000;"ŚLĄSKIE";"autostrady";"2020";231,4;"km";"";
2400000;"ŚLĄSKIE";"autostrady";"2021";231,4;"km";"";
2400000;"ŚLĄSKIE";"autostrady";"2022";250,5;"km";"";
2400000;"ŚLĄSKIE";"inne drogi";"2018";24581,5;"km";"";
2400000;"ŚLĄSKIE";"inne drogi";"2019";24928,5;"km";"";
2400000;"ŚLĄSKIE";"inne drogi";"2020";25260,3;"km";"";
2400000;"ŚLĄSKIE";"inne drogi";"2021";24644,5;"km";"";
2400000;"ŚLĄSKIE";"inne drogi";"2022";24546,6;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2018";17491,7;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2019";17642,8;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2020";17499,6;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2021";17467,2;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"ogółem";"2022";17261,2;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"autostrady";"2018";0,0;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"autostrady";"2019";0,0;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"autostrady";"2020";0,0;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"autostrady";"2021";0,0;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"autostrady";"2022";0,0;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"inne drogi";"2018";17491,7;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"inne drogi";"2019";17642,8;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"inne drogi";"2020";17499,6;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"inne drogi";"2021";17467,2;"km";"";
2600000;"ŚWIĘTOKRZYSKIE";"inne drogi";"2022";17261,2;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2018";22360,0;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2019";22175,7;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2020";22244,7;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2021";22097,6;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"ogółem";"2022";22306,6;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"autostrady";"2018";0,0;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"autostrady";"2019";0,0;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"autostrady";"2020";0,0;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"autostrady";"2021";0,0;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"autostrady";"2022";0,0;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"inne drogi";"2018";22360,0;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"inne drogi";"2019";22175,7;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"inne drogi";"2020";22244,7;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"inne drogi";"2021";22097,6;"km";"";
2800000;"WARMIŃSKO-MAZURSKIE";"inne drogi";"2022";22306,6;"km";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2018";41042,1;"km";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2019";41123,5;"km";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2020";41707,5;"km";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2021";42267,0;"km";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2022";42127,3;"km";"";
3000000;"WIELKOPOLSKIE";"autostrady";"2018";210,4;"km";"";
3000000;"WIELKOPOLSKIE";"autostrady";"2019";210,5;"km";"";
3000000;"WIELKOPOLSKIE";"autostrady";"2020";210,5;"km";"";
3000000;"WIELKOPOLSKIE";"autostrady";"2021";210,5;"km";"";
3000000;"WIELKOPOLSKIE";"autostrady";"2022";210,5;"km";"";
3000000;"WIELKOPOLSKIE";"inne drogi";"2018";40831,7;"km";"";
3000000;"WIELKOPOLSKIE";"inne drogi";"2019";40913,0;"km";"";
3000000;"WIELKOPOLSKIE";"inne drogi";"2020";41497,0;"km";"";
3000000;"WIELKOPOLSKIE";"inne drogi";"2021";42056,5;"km";"";
3000000;"WIELKOPOLSKIE";"inne drogi";"2022";41916,8;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2018";19849,3;"km";"";
3200000;"ZACHODNIOPOMORSKIE";"ogółem";"2019";19406,8;"km";"";
