station_id,voivodeship,location
353150210,zachodniopomorskie,Resno-Smólsko
254170140,pomorskie,Kościerzyna
353200272,warmińsko-mazurskie,Olsztyn
351150400,lubuskie,Zielona Góra
352160330,wielkopolskie,Poznań
353180250,kujawsko-pomorskie,Toruń
351160418,mazowieckie,Leszno
353230295,podlaskie,Białystok
250160090,dolnośląskie,Pszenno
350170530,opolskie,Opole
351190469,łódzkie,Sulejów
350200570,świętokrzyskie,Kielce
351220495,lubelskie,Lublin
250180270,śląskie,Świerklaniec
249190280,małopolskie,Krzeczów
249220040,podkarpackie,Dynów
