LP.;ID;Nazwa;Rzeka;SzerokoúÊ geograficzna;D≥ugoúÊ geograficzna;WysokoúÊ n.p.m.
1;250180590;RYBNIK-STODO£Y;Ruda;50 09 16;18 28 59;216
2;254140010;DZIWN”W;;54 01 20;14 43 54;7
3;250160530;ZIELENIEC;Bystrzyca Dusznicka;50 19 48;16 23 39;840
4;250160630;MI DZYG”RZE;Wilczka;50 13 06;16 46 23;800
5;250160650;MI DZYLESIE;Nysa K≥odzka;50 09 12;16 40 15;453
6;250170110;DOBROGOSZCZ;Pluskawa;50 45 31;17 01 02;175
7;250170250;OTMUCH”W;Nysa K≥odzka;50 28 20;17 09 59;212
8;250170290;DZIEWI TLICE;åwidna;50 24 41;17 05 03;241
9;250170330;G£UCHO£AZY;Bia≥a G≥ucho≥aska;50 18 08;17 23 14;348
10;250170340;JARNO£T”WEK;Z≥oty Potok;50 17 17;17 26 17;346
11;250170390;G£UBCZYCE;Psina;50 10 55;17 47 41;290
12;250180190;KRUPSKI M£YN;Ma≥a Panew;50 34 09;18 37 24;225
13;250180270;åWIERKLANIEC;Brynica;50 25 44;18 56 33;285
14;250190010;JANUSZEWICE;Czarna;50 56 31;19 57 40;220
15;250190030;SILNICZKA;Pilica;50 55 19;19 45 32;215
16;251200290;TEOFIL”W;Pilica;51 31 41;20 10 58;150
17;354190160;ELBL•G-MILEJEWO;Elblπg;54 13 24;19 32 37;189
18;249180020;WARSZOWICE;Pszczynka;49 59 31;18 42 20;270
19;249180070;MAZA—COWICE;Wapienica;49 51 45;18 58 10;269
20;251200220;W£OCH”W;Kamienna;51 05 56;20 36 44;345
21;251200250;SUCHEDNI”W;Kamienna;51 02 59;20 49 50;265
22;250190140;ØARKI;Warta;50 38 24;19 22 49;380
23;251210230;STARACHOWICE;Kamienna;51 02 30;21 03 21;265
24;251210240;BRODY I£ØECKIE;Kamienna;51 01 07;21 11 49;190
25;251220040;RADZY— PODLASKI;Tyúmienica;51 46 09;22 36 03;150
26;252160050;RYCZYW”£;We≥na;52 48 57;16 50 20;70
27;252170060;JANOWIEC WIELKOPOLSKI;We≥na;52 45 17;17 27 44;100
28;252180260;TUREK;Kie≥baska;52 00 37;18 29 54;115
29;252190120;ØYCHLIN;Bzura;52 14 34;19 37 23;97
30;252200080;BORKOWO;Wkra;52 33 43;20 39 37;85
31;252210050;PU£TUSK;Narew;52 43 39;21 05 25;95
32;252220050;BRA—SK;Nurzec;52 44 31;22 49 35;125
33;252220120;TONKIELE;Bug;52 24 43;22 33 56;115
34;252230010;NOWOSADY;Ko≥onna;52 58 21;23 52 44;160
35;252230030;BONDARY;Narew;52 56 15;23 45 16;147
36;252230040;NAREW;Narew;52 54 53;23 31 09;139
37;252230090;CHRABO£Y;Orlanka;52 51 44;23 11 44;127
38;252230120;BIA£OWIEØA;Narewka;52 42 26;23 50 52;163
39;253140010;WOLIN;Cieúnina Dziwna;53 50 15;14 36 57;2
40;253150070;£AB DZIE;Rega;53 39 02;15 48 33;100
41;253150130;LISOWO;Krπpiel;53 25 51;15 18 05;95
42;249200220;ROZTOKA;Dunajec;49 38 25;20 23 00;815
43;249200240;PTASZKOWA;£ubinka;49 36 01;20 53 12;520
44;249200260;£•CKO;Dunajec;49 33 35;20 26 22;366
45;249200270;TURBACZ;Raba;49 32 41;20 07 05;1 273
46;249200280;£ABOWA;Kamienica;49 31 34;20 51 31;455
47;249200290;OCHOTNICA G”RNA;Dunajec;49 30 37;20 14 41;617
48;249200320;£OPUSZNA;Dunajec;49 28 27;20 07 25;570
49;249200330;STUDZIONKI;Dunajec;49 29 43;20 12 43;904
50;249200340;D BNO;Bia≥ka;49 27 57;20 12 34;536
51;249200350;HUTA;Kamienica;49 27 54;20 57 24;756
52;249200360;MIZERNA;Dunajec;49 27 19;20 16 55;570
53;249200370;KROåCIENKO;Dunajec;49 26 44;20 25 54;435
54;249200420;NIEDZICA;Niedziczanka;49 25 04;20 18 57;534
55;249200450;BIA£KA TATRZA—SKA;Bia≥ka;49 24 44;20 06 26;680
56;249200480;BUKOWINA TATRZA—SKA;Bia≥ka;49 20 15;20 05 54;902
57;249200490;MUSZYNA;Poprad;49 20 59;20 53 11;445
58;249200530;£YSA POLANA;Bia≥ka;49 15 49;20 06 54;970
59;249200540;HALA G•SIENICOWA;Dunajec;49 14 38;20 00 21;1 523
60;249200550;DOLINA PI CIU STAW”W;Dunajec;49 12 49;20 02 52;1 674
